Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,CARIOCA DO NOSSO JEITO,183 - FILE CARNE A PARMEGIANA INDIVIDUAL,0,10,5,0,1,2,1,4,2,1,0,0,1,4,0,1,1,2,1,4,1,8,1,3,0,4,3,0,1,1,0,62
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,CARIOCA DO NOSSO JEITO,185 - PICADINHO COM PIAMONTESE INDIVIDUAL,1,2,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,3,0,0,4,0,3,0,0,0,1,0,1,0,0,23
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,CARIOCA DO NOSSO JEITO,186 - STROGONOFF DE CARNE,0,1,0,0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,3,3,0,2,0,1,0,3,0,0,0,22
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,BURGUERS,250 - CARIOCA BURGUER,1,2,1,1,1,3,0,0,0,3,1,0,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,20
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,TABUAS,253 - TABUA DE CAMARAO,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,DESTILADOS,262 - LICOR 43 DOSE,0,3,1,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,ENTRADAS,263 - MIX DE ENTRADA,2,0,1,0,1,1,2,0,1,3,2,1,0,1,2,3,0,1,3,0,3,2,1,4,2,1,1,2,3,0,0,43
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,267 - ESPETTO DE PANCETA,4,3,0,1,3,2,4,2,3,1,7,2,7,4,4,3,0,3,3,2,2,0,5,3,0,3,0,2,3,2,2,80
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,271 - ESPETTO DE PORCO BBQ,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,275 - ESPETTO DE FRANGO A PARMEGIANA,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,10
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,BURGUERS,284 - PORCO AO BARBECUE,0,0,1,0,0,0,0,2,0,2,0,0,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,13
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,BURGUERS,289 - BARBACOA BLEND,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,3,0,0,1,0,0,0,1,0,1,0,0,2,14
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,BURGUERS,293 - CHEF S BURGUER,0,0,0,1,1,0,0,1,0,0,1,0,0,2,1,3,0,2,0,0,0,1,2,0,0,1,0,0,0,2,0,18
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PETISCOS,297 - DERRETIDO SE DERRETE,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PETISCOS,301 - DELISCAS,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,3,0,0,15
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PETISCOS,302 - PIPOCA DE SEREIA PEIXE,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PETISCOS,303 - COXINHA COM CATUPIRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
